date,product_name,quantity_produced,product_flavor,product_size
2024-03-21,Banana Yoghurt 250ml,40,Banana,250ml
2024-03-21,Coconut Yoghurt 250ml,35,Coconut,250ml
2024-03-21,Pineapple Yoghurt 250ml,18,Pineapple,250ml
2024-03-25,Plain Yoghurt 500ml,38,Plain,500ml
2024-03-25,Strawberry Yoghurt 500ml,32,Strawberry,500ml
2024-03-25,Banana Yoghurt 500ml,22,Banana,500ml
2024-03-25,Coconut Yoghurt 500ml,20,Coconut,500ml
2024-03-25,Pineapple Yoghurt 500ml,12,Pineapple,500ml
2024-03-25,Plain Yoghurt 250ml,55,Plain,250ml
2024-03-25,Strawberry Yoghurt 250ml,48,Strawberry,250ml
2024-03-25,Banana Yoghurt 250ml,38,Banana,250ml
2024-03-25,Coconut Yoghurt 250ml,32,Coconut,250ml
2024-03-25,Pineapple Yoghurt 250ml,15,Pineapple,250ml
2024-03-28,Plain Yoghurt 500ml,42,Plain,500ml
2024-03-28,Strawberry Yoghurt 500ml,36,Strawberry,500ml
2024-03-28,Banana Yoghurt 500ml,26,Banana,500ml
2024-03-28,Coconut Yoghurt 500ml,22,Coconut,500ml
2024-03-28,Pineapple Yoghurt 500ml,15,Pineapple,500ml
2024-03-28,Plain Yoghurt 250ml,58,Plain,250ml
2024-03-28,Strawberry Yoghurt 250ml,52,Strawberry,250ml
2024-03-28,Banana Yoghurt 250ml,42,Banana,250ml
2024-03-28,Coconut Yoghurt 250ml,36,Coconut,250ml
2024-03-28,Pineapple Yoghurt 250ml,20,Pineapple,250ml
2024-04-01,Plain Yoghurt 500ml,40,Plain,500ml
2024-04-01,Strawberry Yoghurt 500ml,35,Strawberry,500ml
2024-04-01,Banana Yoghurt 500ml,25,Banana,500ml
2024-04-01,Coconut Yoghurt 500ml,22,Coconut,500ml
2024-04-01,Pineapple Yoghurt 500ml,12,Pineapple,500ml
2024-04-01,Plain Yoghurt 250ml,58,Plain,250ml
2024-04-01,Strawberry Yoghurt 250ml,52,Strawberry,250ml
2024-04-01,Banana Yoghurt 250ml,40,Banana,250ml
2024-04-01,Coconut Yoghurt 250ml,35,Coconut,250ml
2024-04-01,Pineapple Yoghurt 250ml,18,Pineapple,250ml
2024-04-04,Plain Yoghurt 500ml,42,Plain,500ml
2024-04-04,Strawberry Yoghurt 500ml,36,Strawberry,500ml
2024-04-04,Banana Yoghurt 500ml,26,Banana,500ml
2024-04-04,Coconut Yoghurt 500ml,22,Coconut,500ml
2024-04-04,Pineapple Yoghurt 500ml,15,Pineapple,500ml
2024-04-04,Plain Yoghurt 250ml,58,Plain,250ml
2024-04-04,Strawberry Yoghurt 250ml,52,Strawberry,250ml
2024-04-04,Banana Yoghurt 250ml,42,Banana,250ml
2024-04-04,Coconut Yoghurt 250ml,36,Coconut,250ml
2024-04-04,Pineapple Yoghurt 250ml,20,Pineapple,250ml
2024-04-08,Plain Yoghurt 500ml,38,Plain,500ml
2024-04-08,Strawberry Yoghurt 500ml,32,Strawberry,500ml
2024-04-08,Banana Yoghurt 500ml,22,Banana,500ml
2024-04-08,Coconut Yoghurt 500ml,20,Coconut,500ml
2024-04-08,Pineapple Yoghurt 500ml,12,Pineapple,500ml
2024-04-08,Plain Yoghurt 250ml,55,Plain,250ml
2024-04-08,Strawberry Yoghurt 250ml,48,Strawberry,250ml
2024-04-08,Banana Yoghurt 250ml,38,Banana,250ml
2024-04-08,Coconut Yoghurt 250ml,32,Coconut,250ml
2024-04-08,Pineapple Yoghurt 250ml,15,Pineapple,250ml
2024-04-11,Plain Yoghurt 500ml,40,Plain,500ml
2024-04-11,Strawberry Yoghurt 500ml,35,Strawberry,500ml
2024-04-11,Banana Yoghurt 500ml,25,Banana,500ml
2024-04-11,Coconut Yoghurt 500ml,22,Coconut,500ml
2024-04-11,Pineapple Yoghurt 500ml,12,Pineapple,500ml
2024-04-11,Plain Yoghurt 250ml,58,Plain,250ml
2024-04-11,Strawberry Yoghurt 500ml,52,Strawberry,500ml
2024-04-11,Banana Yoghurt 250ml,40,Banana,250ml
2024-04-11,Coconut Yoghurt 250ml,35,Coconut,250ml
2024-04-11,Pineapple Yoghurt 500ml,18,Pineapple,500ml
2024-04-15,Plain Yoghurt 500ml,42,Plain,500ml
2024-04-15,Strawberry Yoghurt 500ml,36,Strawberry,500ml
2024-04-15,Banana Yoghurt 500ml,26,Banana,500ml
2024-04-15,Coconut Yoghurt 500ml,22,Coconut,500ml
2024-04-15,Pineapple Yoghurt 500ml,15,Pineapple,500ml
2024-04-15,Plain Yoghurt 250ml,58,Plain,250ml
2024-04-15,Strawberry Yoghurt 250ml,52,Strawberry,250ml
2024-04-15,Banana Yoghurt 250ml,42,Banana,250ml
2024-04-15,Coconut Yoghurt 250ml,36,Coconut,250ml
2024-04-15,Pineapple Yoghurt 250ml,20,Pineapple,250ml
2024-04-18,Plain Yoghurt 500ml,40,Plain,500ml
2024-04-18,Strawberry Yoghurt 500ml,35,Strawberry,500ml
2024-04-18,Banana Yoghurt 500ml,25,Banana,500ml
2024-04-18,Coconut Yoghurt 500ml,22,Coconut,500ml
2024-04-18,Pineapple Yoghurt 500ml,12,Pineapple,500ml
2024-04-18,Plain Yoghurt 250ml,58,Plain,250ml
2024-04-18,Strawberry Yoghurt 500ml,52,Strawberry,500ml
2024-04-18,Banana Yoghurt 250ml,40,Banana,250ml
2024-04-18,Coconut Yoghurt 250ml,35,Coconut,250ml
2024-04-18,Pineapple Yoghurt 250ml,18,Pineapple,250ml
2024-04-22,Plain Yoghurt 500ml,38,Plain,500ml
2024-04-22,Strawberry Yoghurt 500ml,32,Strawberry,500ml
2024-04-22,Banana Yoghurt 500ml,22,Banana,500ml
2024-04-22,Coconut Yoghurt 500ml,20,Coconut,500ml
2024-04-22,Pineapple Yoghurt 500ml,12,Pineapple,500ml
2024-04-22,Plain Yoghurt 250ml,55,Plain,250ml
2024-04-22,Strawberry Yoghurt 250ml,48,Strawberry,250ml
2024-04-22,Banana Yoghurt 250ml,38,Banana,250ml
2024-04-22,Coconut Yoghurt 250ml,32,Coconut,250ml
2024-04-22,Pineapple Yoghurt 250ml,15,Pineapple,250ml
2024-04-25,Plain Yoghurt 500ml,42,Plain,500ml
2024-04-25,Strawberry Yoghurt 500ml,36,Strawberry,500ml
2024-04-25,Banana Yoghurt 500ml,26,Banana,500ml
2024-04-25,Coconut Yoghurt 500ml,22,Coconut,500ml
2024-04-25,Pineapple Yoghurt 500ml,15,Pineapple,500ml
2024-04-25,Plain Yoghurt 250ml,58,Plain,250ml
2024-04-25,Strawberry Yoghurt 250ml,52,Strawberry,250ml
2024-04-25,Banana Yoghurt 250ml,42,Banana,250ml
2024-04-25,Coconut Yoghurt 250ml,36,Coconut,250ml
2024-04-25,Pineapple Yoghurt 250ml,20,Pineapple,250ml
2024-04-29,Plain Yoghurt 500ml,40,Plain,500ml
2024-04-29,Strawberry Yoghurt 500ml,35,Strawberry,500ml
2024-04-29,Banana Yoghurt 500ml,25,Banana,500ml
2024-04-29,Coconut Yoghurt 500ml,22,Coconut,500ml
2024-04-29,Pineapple Yoghurt 500ml,12,Pineapple,500ml
2024-04-29,Plain Yoghurt 250ml,58,Plain,250ml
2024-04-29,Strawberry Yoghurt 250ml,52,Strawberry,250ml
2024-04-29,Banana Yoghurt 250ml,40,Banana,250ml
2024-04-29,Coconut Yoghurt 250ml,35,Coconut,250ml
2024-04-29,Pineapple Yoghurt 250ml,18,Pineapple,250ml
